X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-5	0	-900	2.72955e-05	1.29892e-05	-5.4476e-06
-4	0	-900	3.17162e-05	1.35674e-05	-4.72055e-06
-3	0	-900	2.57372e-05	1.39792e-05	-6.34232e-06
-2	0	-900	4.12068e-05	1.37328e-05	-2.97352e-06
-1	0	-900	4.62826e-05	1.15873e-05	-2.16505e-06
0	0	-900	3.52069e-05	1.2602e-05	-3.9997e-06
1	0	-900	3.88553e-05	1.30969e-05	-3.18351e-06
2	0	-900	3.64964e-05	1.33459e-05	-3.75384e-06
3	0	-900	3.98087e-05	1.29354e-05	-3.04885e-06
4	0	-900	3.38119e-05	1.40881e-05	-4.46726e-06
5	0	-900	3.51621e-05	1.32461e-05	-4.69001e-06
-5	0	-899.5	2.80294e-05	1.3248e-05	-5.28393e-06
-4	0	-899.5	3.18055e-05	1.29407e-05	-4.2528e-06
-3	0	-899.5	2.74276e-05	1.39302e-05	-5.93253e-06
-2	0	-899.5	5.19195e-05	1.32436e-05	-1.94361e-06
-1	0	-899.5	4.32857e-05	1.23982e-05	-2.64246e-06
0	0	-899.5	3.74102e-05	1.27313e-05	-3.36914e-06
1	0	-899.5	3.8377e-05	1.32172e-05	-3.32774e-06
2	0	-899.5	3.7533e-05	1.30176e-05	-3.48176e-06
3	0	-899.5	4.1443e-05	1.33168e-05	-2.81988e-06
4	0	-899.5	3.2442e-05	1.3661e-05	-4.90771e-06
5	0	-899.5	3.40543e-05	1.25604e-05	-4.52903e-06
-5	0	-899	2.72578e-05	1.30603e-05	-5.52444e-06
-4	0	-899	3.19126e-05	1.28471e-05	-4.1116e-06
-3	0	-899	2.62608e-05	1.29337e-05	-6.01414e-06
-2	0	-899	4.64367e-05	1.30443e-05	-2.2976e-06
-1	0	-899	4.26938e-05	1.22011e-05	-2.65662e-06
0	0	-899	3.69746e-05	1.2318e-05	-3.42556e-06
1	0	-899	3.82262e-05	1.31081e-05	-3.26319e-06
2	0	-899	3.76593e-05	1.29852e-05	-3.56546e-06
3	0	-899	3.71336e-05	1.33166e-05	-3.39211e-06
4	0	-899	3.3909e-05	1.39168e-05	-4.70169e-06
5	0	-899	3.32584e-05	1.27273e-05	-4.6755e-06
-5	0	-898.5	2.69227e-05	1.35142e-05	-5.62262e-06
-4	0	-898.5	3.29232e-05	1.28709e-05	-4.05145e-06
-3	0	-898.5	2.749e-05	1.33092e-05	-5.80649e-06
-2	0	-898.5	4.6175e-05	1.29186e-05	-2.32008e-06
-1	0	-898.5	4.36228e-05	1.2096e-05	-2.55056e-06
0	0	-898.5	3.8489e-05	1.26167e-05	-3.24895e-06
1	0	-898.5	3.79812e-05	1.36853e-05	-3.5482e-06
2	0	-898.5	3.5932e-05	1.334e-05	-4.05226e-06
3	0	-898.5	3.83532e-05	1.31049e-05	-3.17413e-06
4	0	-898.5	3.23736e-05	1.38134e-05	-4.91439e-06
5	0	-898.5	3.32028e-05	1.31906e-05	-4.89007e-06
-5	0	-898	2.76191e-05	1.35906e-05	-5.55647e-06
-4	0	-898	3.12864e-05	1.31082e-05	-4.59041e-06
-3	0	-898	2.7444e-05	1.37365e-05	-6.00691e-06
-2	0	-898	4.46409e-05	1.24088e-05	-2.36554e-06
-1	0	-898	3.8785e-05	1.19609e-05	-3.21366e-06
0	0	-898	3.42501e-05	1.27213e-05	-4.13752e-06
1	0	-898	4.00156e-05	1.39345e-05	-3.29449e-06
2	0	-898	3.70733e-05	1.31e-05	-3.73959e-06
3	0	-898	3.59737e-05	1.34245e-05	-3.64003e-06
4	0	-898	3.25542e-05	1.38339e-05	-4.72067e-06
5	0	-898	3.32173e-05	1.24288e-05	-4.7154e-06
-5	0	-897.5	2.70965e-05	1.32325e-05	-5.49217e-06
-4	0	-897.5	3.18486e-05	1.28673e-05	-4.1584e-06
-3	0	-897.5	2.70899e-05	1.37568e-05	-6.0214e-06
-2	0	-897.5	4.58989e-05	1.25936e-05	-2.26744e-06
-1	0	-897.5	4.18596e-05	1.23829e-05	-2.87752e-06
0	0	-897.5	3.4502e-05	1.27573e-05	-4.22314e-06
1	0	-897.5	3.6831e-05	1.37818e-05	-3.78454e-06
2	0	-897.5	3.58922e-05	1.26896e-05	-3.79872e-06
3	0	-897.5	3.80302e-05	1.34806e-05	-3.31807e-06
4	0	-897.5	3.34179e-05	1.39479e-05	-4.67769e-06
5	0	-897.5	3.23562e-05	1.19483e-05	-4.96885e-06
-5	0	-897	2.67999e-05	1.33444e-05	-5.71777e-06
-4	0	-897	3.18409e-05	1.31222e-05	-4.44724e-06
-3	0	-897	2.73461e-05	1.33936e-05	-5.9513e-06
-2	0	-897	4.27561e-05	1.281e-05	-2.57763e-06
-1	0	-897	4.19737e-05	1.29132e-05	-3.0051e-06
0	0	-897	3.27425e-05	1.23848e-05	-4.71603e-06
1	0	-897	3.54654e-05	1.36942e-05	-4.03234e-06
2	0	-897	3.68214e-05	1.29852e-05	-3.75378e-06
3	0	-897	3.60846e-05	1.36352e-05	-3.77158e-06
4	0	-897	3.47558e-05	1.46077e-05	-4.77644e-06
5	0	-897	3.28143e-05	1.20218e-05	-4.83019e-06
-5	0	-896.5	2.76272e-05	1.3078e-05	-5.26476e-06
-4	0	-896.5	2.96283e-05	1.29997e-05	-5.21011e-06
-3	0	-896.5	2.63065e-05	1.35849e-05	-6.13056e-06
-2	0	-896.5	4.32471e-05	1.27544e-05	-2.53915e-06
-1	0	-896.5	4.19986e-05	1.25409e-05	-2.84254e-06
0	0	-896.5	3.40753e-05	1.28508e-05	-4.46876e-06
1	0	-896.5	3.38819e-05	1.31105e-05	-4.23041e-06
2	0	-896.5	3.74488e-05	1.33839e-05	-3.67612e-06
3	0	-896.5	3.55004e-05	1.38606e-05	-4.06639e-06
4	0	-896.5	3.42442e-05	1.43288e-05	-4.58052e-06
5	0	-896.5	3.20085e-05	1.21594e-05	-5.35857e-06
-5	0	-896	2.54337e-05	1.29891e-05	-6.36492e-06
-4	0	-896	2.82614e-05	1.23167e-05	-5.49862e-06
-3	0	-896	2.58786e-05	1.29952e-05	-6.42977e-06
-2	0	-896	4.35439e-05	1.27607e-05	-2.49077e-06
-1	0	-896	3.90546e-05	1.21394e-05	-3.18445e-06
0	0	-896	3.35709e-05	1.30233e-05	-4.46967e-06
1	0	-896	3.36076e-05	1.34684e-05	-4.37454e-06
2	0	-896	3.45052e-05	1.29235e-05	-4.25683e-06
3	0	-896	3.66296e-05	1.32366e-05	-3.43374e-06
4	0	-896	3.50428e-05	1.47068e-05	-4.39117e-06
5	0	-896	3.26612e-05	1.26546e-05	-5.04845e-06
-5	0	-895.5	2.70731e-05	1.31567e-05	-5.44523e-06
-4	0	-895.5	2.95888e-05	1.29407e-05	-5.23494e-06
-3	0	-895.5	2.57502e-05	1.34843e-05	-6.6791e-06
-2	0	-895.5	3.92734e-05	1.23207e-05	-2.92889e-06
-1	0	-895.5	4.16695e-05	1.19078e-05	-2.76743e-06
0	0	-895.5	3.35034e-05	1.2786e-05	-4.60645e-06
1	0	-895.5	3.29765e-05	1.33834e-05	-4.53903e-06
2	0	-895.5	3.53981e-05	1.34834e-05	-4.34452e-06
3	0	-895.5	3.6851e-05	1.38525e-05	-3.61951e-06
4	0	-895.5	3.48642e-05	1.46717e-05	-4.38539e-06
5	0	-895.5	3.20037e-05	1.26104e-05	-5.38896e-06
-5	0	-895	2.71656e-05	1.37196e-05	-5.91759e-06
-4	0	-895	2.9136e-05	1.27269e-05	-5.30915e-06
-3	0	-895	2.62129e-05	1.39151e-05	-6.65847e-06
-2	0	-895	4.04205e-05	1.2863e-05	-2.91571e-06
-1	0	-895	4.18578e-05	1.23746e-05	-2.81201e-06
0	0	-895	3.38456e-05	1.28211e-05	-4.45393e-06
1	0	-895	3.29039e-05	1.31663e-05	-4.44649e-06
2	0	-895	3.4359e-05	1.32343e-05	-4.66081e-06
3	0	-895	3.68355e-05	1.37758e-05	-3.7133e-06
4	0	-895	3.29861e-05	1.41006e-05	-4.97334e-06
5	0	-895	3.31456e-05	1.27364e-05	-4.90115e-06
-5	0	-894.5	2.64733e-05	1.3344e-05	-5.82053e-06
-4	0	-894.5	2.96682e-05	1.22291e-05	-4.85374e-06
-3	0	-894.5	2.5029e-05	1.34955e-05	-6.82491e-06
-2	0	-894.5	3.89664e-05	1.27575e-05	-3.05684e-06
-1	0	-894.5	3.85101e-05	1.21724e-05	-3.28193e-06
0	0	-894.5	3.26679e-05	1.30818e-05	-4.92451e-06
1	0	-894.5	3.27281e-05	1.31167e-05	-4.4234e-06
2	0	-894.5	3.58602e-05	1.28857e-05	-3.89385e-06
3	0	-894.5	3.87914e-05	1.3729e-05	-3.22523e-06
4	0	-894.5	3.23001e-05	1.37226e-05	-5.09724e-06
5	0	-894.5	3.17002e-05	1.2721e-05	-5.60158e-06
-5	0	-894	2.50112e-05	1.2623e-05	-6.42889e-06
-4	0	-894	2.98063e-05	1.26627e-05	-4.73552e-06
-3	0	-894	2.57887e-05	1.39501e-05	-6.55674e-06
-2	0	-894	3.85707e-05	1.25402e-05	-2.99099e-06
-1	0	-894	4.06117e-05	1.18816e-05	-2.80015e-06
0	0	-894	3.51817e-05	1.2529e-05	-4.13046e-06
1	0	-894	3.24502e-05	1.30319e-05	-4.65133e-06
2	0	-894	3.39499e-05	1.31495e-05	-4.46222e-06
3	0	-894	3.56316e-05	1.34625e-05	-3.83321e-06
4	0	-894	3.363e-05	1.39366e-05	-4.81778e-06
5	0	-894	3.26419e-05	1.32842e-05	-5.39473e-06
-5	0	-893.5	2.53887e-05	1.32154e-05	-6.59638e-06
-4	0	-893.5	2.94311e-05	1.27e-05	-5.16671e-06
-3	0	-893.5	2.55407e-05	1.40701e-05	-6.86839e-06
-2	0	-893.5	3.6104e-05	1.24407e-05	-3.43855e-06
-1	0	-893.5	3.98452e-05	1.22274e-05	-3.02855e-06
0	0	-893.5	3.30297e-05	1.18341e-05	-4.28242e-06
1	0	-893.5	3.27701e-05	1.34918e-05	-4.70733e-06
2	0	-893.5	3.41091e-05	1.24671e-05	-4.36368e-06
3	0	-893.5	3.41186e-05	1.31376e-05	-4.03059e-06
4	0	-893.5	3.34926e-05	1.3931e-05	-4.83858e-06
5	0	-893.5	3.31998e-05	1.31315e-05	-5.03277e-06
-5	0	-893	2.50986e-05	1.31243e-05	-6.42187e-06
-4	0	-893	2.8309e-05	1.31777e-05	-5.70461e-06
-3	0	-893	2.52584e-05	1.33318e-05	-6.49379e-06
-2	0	-893	3.42085e-05	1.24613e-05	-3.92342e-06
-1	0	-893	3.73589e-05	1.27966e-05	-3.69944e-06
0	0	-893	3.25336e-05	1.2754e-05	-4.89588e-06
1	0	-893	3.38613e-05	1.34712e-05	-4.40666e-06
2	0	-893	3.3125e-05	1.24174e-05	-4.58742e-06
3	0	-893	3.43169e-05	1.30729e-05	-3.93609e-06
4	0	-893	3.28585e-05	1.31162e-05	-4.94695e-06
5	0	-893	3.16562e-05	1.29437e-05	-5.59231e-06
-5	0	-892.5	2.52849e-05	1.25146e-05	-6.25125e-06
-4	0	-892.5	2.94219e-05	1.32864e-05	-5.51009e-06
-3	0	-892.5	2.65921e-05	1.35698e-05	-6.06475e-06
-2	0	-892.5	3.35148e-05	1.25017e-05	-4.19992e-06
-1	0	-892.5	3.46928e-05	1.15323e-05	-3.9451e-06
0	0	-892.5	3.32578e-05	1.31432e-05	-4.59276e-06
1	0	-892.5	3.32916e-05	1.33331e-05	-4.49556e-06
2	0	-892.5	3.34124e-05	1.25781e-05	-4.82395e-06
3	0	-892.5	3.29971e-05	1.3307e-05	-4.49917e-06
4	0	-892.5	3.2829e-05	1.40688e-05	-5.19105e-06
5	0	-892.5	3.18444e-05	1.30788e-05	-5.61486e-06
-5	0	-892	2.55856e-05	1.3028e-05	-6.44086e-06
-4	0	-892	2.83042e-05	1.28262e-05	-5.36713e-06
-3	0	-892	2.6163e-05	1.3736e-05	-6.51846e-06
-2	0	-892	3.63778e-05	1.2883e-05	-3.53968e-06
-1	0	-892	3.66628e-05	1.19697e-05	-3.62045e-06
0	0	-892	3.36247e-05	1.28885e-05	-4.42351e-06
1	0	-892	3.39267e-05	1.38318e-05	-4.39652e-06
2	0	-892	3.42051e-05	1.25692e-05	-4.44883e-06
3	0	-892	3.37687e-05	1.34305e-05	-4.2199e-06
4	0	-892	3.28459e-05	1.41824e-05	-5.20679e-06
5	0	-892	3.18766e-05	1.29994e-05	-5.23147e-06
-5	0	-891.5	2.41686e-05	1.27231e-05	-7.28431e-06
-4	0	-891.5	2.77315e-05	1.27643e-05	-5.6207e-06
-3	0	-891.5	2.56972e-05	1.40669e-05	-6.78152e-06
-2	0	-891.5	3.65954e-05	1.27774e-05	-3.44932e-06
-1	0	-891.5	3.6984e-05	1.21367e-05	-3.48733e-06
0	0	-891.5	3.21792e-05	1.29032e-05	-4.85237e-06
1	0	-891.5	3.24203e-05	1.34326e-05	-4.66915e-06
2	0	-891.5	3.38242e-05	1.27832e-05	-4.52289e-06
3	0	-891.5	3.3421e-05	1.32747e-05	-4.48081e-06
4	0	-891.5	3.09139e-05	1.34326e-05	-5.64529e-06
5	0	-891.5	3.38803e-05	1.26805e-05	-4.50907e-06
-5	0	-891	2.53632e-05	1.27232e-05	-6.99238e-06
-4	0	-891	2.94958e-05	1.35676e-05	-5.26787e-06
-3	0	-891	2.59391e-05	1.43453e-05	-7.13254e-06
-2	0	-891	3.57451e-05	1.29709e-05	-3.72348e-06
-1	0	-891	3.61209e-05	1.22152e-05	-3.58733e-06
0	0	-891	3.30587e-05	1.27688e-05	-4.54074e-06
1	0	-891	3.23778e-05	1.36376e-05	-4.76493e-06
2	0	-891	3.28568e-05	1.24525e-05	-4.64381e-06
3	0	-891	3.45018e-05	1.40543e-05	-4.33123e-06
4	0	-891	3.17835e-05	1.31487e-05	-5.13704e-06
5	0	-891	3.19218e-05	1.26042e-05	-5.33814e-06
-5	0	-890.5	2.50396e-05	1.29949e-05	-7.06966e-06
-4	0	-890.5	2.95599e-05	1.33096e-05	-5.18869e-06
-3	0	-890.5	2.64132e-05	1.40529e-05	-6.60011e-06
