X [mm]	Y [mm]	I1x [G.cm]	I1x_std [G.cm]	I1y [G.cm]	I1y_std [G.cm]	I2x [kG.cm^2]	I2x_std [kG.cm^2]	I2y [kG.cm^2]	I2y_std [kG.cm^2]
-5.0	0.0	192.58800629496008	5.2150109508602815	-120.86723661870757	2.4300977525498326	39.344627403596945	1.482904073860214	-34.98279469734613	0.840352676649923
-4.0	0.0	77.61206469707645	3.5503747072840186	-58.04445287440806	5.092300292638478	20.185765229762524	1.3837045060713804	-21.912383806661413	0.9080919249141987
-3.0	0.0	-10.104892494184941	4.94129576508263	-42.29948438301759	3.2618978668269305	5.85693921206194	1.380318166581277	-15.97091477462949	1.0555462300990985
-2.0	0.0	-81.36693604970334	4.892268964644964	-44.829409464470146	2.8545725640561437	-5.130587735173477	1.5866737119670755	-13.667963738679905	0.9588721130943143
-1.0	0.0	-142.66141431202	3.3313582391901946	-55.724710231828084	4.976830583862115	-13.661197449219502	1.4922012155685562	-11.660153195113185	1.045555463756531
0.0	0.0	-198.9912443544342	4.845004517494833	-71.39804931424699	3.796302542119692	-22.200312125191502	1.4627574138063637	-10.136923763855823	1.155608424674132
1.0	0.0	-256.8782490253855	5.1534179398500655	-84.41106350196428	3.9330027416103346	-30.779291851343523	1.4815944204507707	-8.405047009163376	0.906413725275286
2.0	0.0	-326.09389799102223	3.2648762642659914	-105.5215595325671	3.756071114096641	-41.69352439400961	1.690659543921686	-7.612771186256857	0.9688132219777973
3.0	0.0	-401.7692397459872	3.6638301060755216	-125.7440621937333	4.642005540935741	-54.81676990113093	1.3723036441098784	-4.995644156183789	0.6088013201415603
4.0	0.0	-498.4309056267095	3.8591071277247098	-139.9010173485614	3.478734665500635	-71.41567470812284	1.4021722965084797	-3.390838445153641	0.8729303735920481
5.0	0.0	-620.2169117529252	4.150761254760164	-200.02096907296703	4.219032613010489	-93.09924549366305	1.4925840998753659	-6.146753805739653	0.9675647331315761
