X [mm]	Y [mm]	I1x [G.cm]	I1x_std [G.cm]	I1y [G.cm]	I1y_std [G.cm]	I2x [kG.cm^2]	I2x_std [kG.cm^2]	I2y [kG.cm^2]	I2y_std [kG.cm^2]
-5.0	0.0	96.86525378349988	5.47721113794282	-370.05909667636	3.3703392468668554	30.320546721036894	1.579693030018112	-61.73236817694846	1.1801550416121913
-4.0	0.0	17.313910960311652	4.851649211870973	-308.31333613959583	3.6625838446335353	15.480699654113801	1.3898558278278093	-48.4571881412287	1.649779082993152
-3.0	0.0	-37.00067736881927	5.16580822867807	-288.4962445768355	5.278015312452298	5.125242800285248	2.228937389972337	-40.79762291997063	1.328573352560679
-2.0	0.0	-74.34066595514977	4.412499537429174	-285.2930328706885	3.651291510822539	-1.8120624227093396	1.8010675990726868	-37.30805081303656	1.4199332071165665
-1.0	0.0	-96.06778096690965	4.145685497634694	-284.89095255994823	3.9695597172527695	-5.838351989721553	1.719341468580902	-32.825019044264884	1.3783307982649156
0.0	0.0	-116.9792358935504	5.4338826816543735	-286.1831156662848	4.263010046208512	-8.78660539291974	1.6300554713182813	-28.889357998891647	0.9364173061509568
1.0	0.0	-138.35867568220462	4.085894407055789	-272.31941943708836	5.584676963106825	-11.626790137018729	3.9058445630864482	-24.15730906730738	0.7745716771303548
2.0	0.0	-159.9140736836479	5.3139889038357335	-252.62799435117117	3.831356187071581	-18.611177456648278	1.3794727370709083	-17.83452375377808	1.2100927401292672
3.0	0.0	-194.77981184543228	4.9160966527524295	-224.8426426266245	4.384506618179657	-25.17111260715642	1.7103343470104932	-10.634895674750599	0.9988825545836666
4.0	0.0	-245.83464171530454	6.214344504229201	-188.3066031401627	3.757425183606401	-36.1998442811177	1.7430310891109562	-2.449556919842483	0.9856417445668623
5.0	0.0	-311.83551298478784	4.119557600332265	-182.42590947701393	3.56087682012447	-50.89751290456361	1.9851510598130697	3.387936872497442	0.8912168212228322
