Delta Sabia Undulator
Units: X, Y = [mm]; I1=[T.m]=10**6[G.cm]; I2=[T.m²]=10**5[kG.cm²]
Comments: Full undulator, no shimming. Phase 5 (Phase = 0 mm; GV = -13.125 mm).

X	Y	I1x_mean	I1x_std	I1y_mean	I1y_std	I2x_mean	I2x_std	I2y_mean	I2y_std
-5.0	0.0	0.0002908864702208157	1.0401005416348914e-05	-0.0005307476224890442	3.7383835814203584e-06	0.00038882767462349027	2.8314226366314237e-05	-0.0009491204943970785	1.0962751247286106e-05
-4.0	0.0	0.0002452124160559987	1.2871463041691713e-05	-0.000395294454483031	4.339422504410179e-06	0.0003559028876869864	2.25180184702145e-05	-0.0007015455685604212	1.0710266933883345e-05
-3.0	0.0	0.0002149141465547054	1.5256623410645513e-05	-0.0003017710082234632	4.362962776281574e-06	0.0003435082203533617	2.1569678361948326e-05	-0.0005323636583080775	8.214434314392484e-06
-2.0	0.0	0.0001833617645383036	1.6167545750551795e-05	-0.00022739574086410138	2.926798377349558e-06	0.00030758260193146895	3.1720561018344825e-05	-0.000405212670109629	8.760837081435894e-06
-1.0	0.0	0.00015282685180866655	1.3928714781844834e-05	-0.00016082131332174356	3.867711998834873e-06	0.00026094764397101495	3.446903429950719e-05	-0.00028862175506312067	9.817043480561851e-06
0.0	0.0	0.00011047289053642814	1.2463874106461863e-05	-8.966930621001363e-05	5.415858993512829e-06	0.00022620787610891772	3.467523980824088e-05	-0.00017435647150848996	7.222982719693907e-06
1.0	0.0	4.933468608203153e-05	1.372568685596707e-05	-1.648992833867754e-05	3.273421024373709e-06	0.00016456397297694863	4.790357174151626e-05	-4.9601994439824176e-05	5.747209601200872e-06
2.0	0.0	-1.0920208004956802e-07	1.5237697777140205e-05	6.123374467079076e-05	4.604916811839045e-06	8.287300350457474e-05	3.0847323299500166e-05	7.325994474216563e-05	1.3898680160921957e-05
3.0	0.0	-7.513080995452524e-05	1.022631519169338e-05	0.000146143261525023	4.3973978548847705e-06	1.190214862849033e-05	4.279202033452255e-05	0.00018371911877993908	6.844106451919212e-05
4.0	0.0	-0.00017677134032962493	1.9827191416848553e-05	0.00023157713400722693	4.958774339442141e-06	-6.68428463938872e-05	4.3091126846752596e-05	0.00035132779008216686	7.470512268130194e-06
5.0	0.0	-0.00029521258942531925	1.0719143975144529e-05	0.0003143624631360283	4.763445007357821e-06	-0.00020677320852688821	2.4267022466424503e-05	0.0004879568961068021	1.0467991656438478e-05
