X [mm]	Y [mm]	I1x [G.cm]	I1x_std [G.cm]	I1y [G.cm]	I1y_std [G.cm]	I2x [kG.cm^2]	I2x_std [kG.cm^2]	I2y [kG.cm^2]	I2y_std [kG.cm^2]
-5.0	0.0	118.99267289594354	3.9606642718212126	-57.24635025533278	2.9477533602250534	36.775721275744615	1.6337477666943925	-24.4331393133854	1.3201644426708903
-4.0	0.0	64.7621492045856	4.490821159369687	-8.486141997555078	3.1701312470552128	25.19612662659455	1.4877207731871351	-12.403053845895258	0.9438234021004668
-3.0	0.0	35.844060930660845	2.971130813646708	9.374054846641432	3.4181527794652298	18.81809969309334	1.5431868574176073	-6.897498561454215	1.0877046256770582
-2.0	0.0	26.368763429605835	5.354540161845806	12.690833729680165	2.7730973007552793	15.202361752230953	2.9819141186573086	-3.296647720977797	0.6818388256710561
-1.0	0.0	21.604741590116017	3.493874495763701	18.471510347532377	3.947134880626646	15.023220285455587	1.499539689815798	1.8427884326352406	0.9461234964108483
0.0	0.0	23.36508107820732	3.8262986414925035	25.10193177636253	2.316448524385651	14.281798593313779	1.665497589989001	5.598855251516472	0.7703207394385818
1.0	0.0	20.401141490930645	4.160712653978027	50.091613348805524	3.802917702741066	13.2398300915014	1.4964285600348586	12.207109334394232	1.0310865984859985
2.0	0.0	8.91680065842535	3.2671859342512097	78.06911241909859	4.1761677944141695	9.06792256068756	1.4075067848690996	19.134490388139103	1.0548177080910737
3.0	0.0	-18.017814367516262	5.332616568429724	114.8879540291593	3.5734181380758385	3.807734343863498	1.4327605215406924	27.693157908193808	1.33734366005537
4.0	0.0	-75.0198689572839	3.9962749821867236	154.8248426047191	2.150873033238131	-7.482733884079801	1.3666706501290808	36.02180398114097	1.4401365986270338
5.0	0.0	-160.89671333972996	4.763334126734442	159.6914892791577	4.464293250981997	-24.98757454601471	1.3445113066131493	41.20852097574722	0.9081463658731557
