X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-5	0	-900	-2.1008e-06	-4.87471e-06	-9.41567e-06
-4	0	-900	-2.48859e-06	-3.96884e-06	-8.17811e-06
-3	0	-900	-1.90567e-06	-4.1063e-06	-8.40574e-06
-2	0	-900	-1.20411e-06	-4.4515e-06	-8.28265e-06
-1	0	-900	-2.4021e-06	-3.98426e-06	-8.22241e-06
0	0	-900	-6.18364e-06	-3.36383e-06	-1.04454e-05
1	0	-900	-1.5412e-06	-3.83399e-06	-7.84057e-06
2	0	-900	-2.19734e-06	-4.41721e-06	-8.1745e-06
3	0	-900	-6.39499e-07	-3.76064e-06	-7.85157e-06
4	0	-900	-3.35339e-06	-3.34316e-06	-8.44399e-06
5	0	-900	-3.5862e-06	-3.84152e-06	-9.18506e-06
-5	0	-899.5	-2.76516e-06	-4.66929e-06	-9.02239e-06
-4	0	-899.5	-2.54473e-06	-4.16246e-06	-8.39839e-06
-3	0	-899.5	-2.41363e-06	-3.99532e-06	-8.05336e-06
-2	0	-899.5	-7.14545e-07	-4.43153e-06	-7.68713e-06
-1	0	-899.5	-1.68849e-06	-4.27958e-06	-8.28051e-06
0	0	-899.5	-4.5236e-06	-3.70041e-06	-9.79244e-06
1	0	-899.5	-1.8053e-06	-3.93099e-06	-8.07996e-06
2	0	-899.5	-2.42467e-06	-3.92505e-06	-8.35868e-06
3	0	-899.5	-1.4065e-06	-4.44979e-06	-8.69041e-06
4	0	-899.5	-2.53808e-06	-4.13978e-06	-8.20934e-06
5	0	-899.5	-5.60327e-06	-2.91544e-06	-9.02105e-06
-5	0	-899	-2.58769e-06	-4.42639e-06	-9.44541e-06
-4	0	-899	-1.68935e-06	-4.27668e-06	-7.36613e-06
-3	0	-899	-2.45787e-06	-4.02495e-06	-8.15837e-06
-2	0	-899	-7.87117e-07	-4.09485e-06	-7.82929e-06
-1	0	-899	-1.93084e-06	-4.45225e-06	-7.98182e-06
0	0	-899	-4.13694e-06	-3.64797e-06	-9.46495e-06
1	0	-899	-1.82006e-06	-3.76993e-06	-8.31236e-06
2	0	-899	-2.34841e-06	-4.25056e-06	-8.65453e-06
3	0	-899	-1.12827e-06	-4.31783e-06	-8.56931e-06
4	0	-899	-3.75499e-06	-3.58285e-06	-8.72961e-06
5	0	-899	-5.31098e-06	-3.06163e-06	-8.80813e-06
-5	0	-898.5	-3.61741e-06	-3.94043e-06	-8.9656e-06
-4	0	-898.5	-2.14825e-06	-3.87809e-06	-7.71282e-06
-3	0	-898.5	-2.67012e-06	-4.01302e-06	-7.83587e-06
-2	0	-898.5	-1.18005e-07	-4.06495e-06	-7.40864e-06
-1	0	-898.5	-2.22332e-06	-4.27391e-06	-8.28909e-06
0	0	-898.5	-4.80989e-06	-3.26992e-06	-9.32918e-06
1	0	-898.5	-2.56202e-06	-4.03686e-06	-8.72359e-06
2	0	-898.5	-2.97594e-06	-3.82854e-06	-8.89345e-06
3	0	-898.5	-1.55877e-06	-4.3586e-06	-8.33495e-06
4	0	-898.5	-2.9203e-06	-3.37746e-06	-8.18498e-06
5	0	-898.5	-4.53688e-06	-3.57177e-06	-9.46681e-06
-5	0	-898	-3.90811e-06	-3.66768e-06	-9.32264e-06
-4	0	-898	-2.51865e-06	-3.99511e-06	-7.99718e-06
-3	0	-898	-2.41026e-06	-4.21849e-06	-8.66046e-06
