X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-5	0	-900	2.77131e-05	1.48661e-05	-5.68787e-06
-4	0	-900	3.06535e-05	1.53292e-05	-5.27489e-06
-3	0	-900	2.94946e-05	1.52088e-05	-5.29347e-06
-2	0	-900	3.18389e-05	1.51043e-05	-5.18782e-06
-1	0	-900	2.90332e-05	1.50915e-05	-5.93817e-06
0	0	-900	2.98984e-05	1.5297e-05	-5.68249e-06
1	0	-900	2.86066e-05	1.51473e-05	-6.04775e-06
2	0	-900	2.8308e-05	1.53457e-05	-6.11025e-06
3	0	-900	3.26808e-05	1.47412e-05	-4.79463e-06
4	0	-900	3.8213e-05	1.48558e-05	-3.81173e-06
5	0	-900	3.24571e-05	1.52474e-05	-4.80264e-06
-5	0	-899.5	2.86458e-05	1.50947e-05	-5.25013e-06
-4	0	-899.5	2.92192e-05	1.53524e-05	-5.71114e-06
-3	0	-899.5	2.92083e-05	1.48161e-05	-5.33745e-06
-2	0	-899.5	3.11042e-05	1.52973e-05	-5.41831e-06
-1	0	-899.5	2.71257e-05	1.49947e-05	-6.53467e-06
0	0	-899.5	3.11444e-05	1.51971e-05	-5.48413e-06
1	0	-899.5	2.8489e-05	1.51005e-05	-5.89604e-06
2	0	-899.5	2.79444e-05	1.50742e-05	-6.33109e-06
3	0	-899.5	3.31493e-05	1.52422e-05	-5.15132e-06
4	0	-899.5	3.32179e-05	1.44128e-05	-4.91549e-06
5	0	-899.5	3.21237e-05	1.53618e-05	-4.98885e-06
-5	0	-899	2.8551e-05	1.53349e-05	-5.28848e-06
-4	0	-899	2.74951e-05	1.53554e-05	-6.5301e-06
-3	0	-899	2.87614e-05	1.53466e-05	-5.67353e-06
-2	0	-899	3.16599e-05	1.48895e-05	-4.81615e-06
-1	0	-899	2.8073e-05	1.48687e-05	-6.25877e-06
0	0	-899	2.97538e-05	1.59498e-05	-6.26953e-06
1	0	-899	2.70941e-05	1.49537e-05	-6.3414e-06
2	0	-899	2.7964e-05	1.46381e-05	-6.0626e-06
3	0	-899	3.12672e-05	1.47967e-05	-5.74565e-06
4	0	-899	3.33926e-05	1.45654e-05	-4.89821e-06
5	0	-899	3.20278e-05	1.52005e-05	-4.99673e-06
-5	0	-898.5	2.78151e-05	1.50209e-05	-5.75468e-06
-4	0	-898.5	2.84788e-05	1.51208e-05	-5.80078e-06
-3	0	-898.5	3.02457e-05	1.55572e-05	-5.25637e-06
-2	0	-898.5	3.26088e-05	1.54441e-05	-4.78195e-06
-1	0	-898.5	2.82233e-05	1.56629e-05	-6.58846e-06
0	0	-898.5	2.98127e-05	1.55366e-05	-6.17627e-06
1	0	-898.5	2.77559e-05	1.49102e-05	-6.12169e-06
2	0	-898.5	2.81944e-05	1.49159e-05	-6.28874e-06
3	0	-898.5	2.95312e-05	1.40141e-05	-6.36312e-06
4	0	-898.5	3.44544e-05	1.47796e-05	-4.71397e-06
5	0	-898.5	3.32858e-05	1.60742e-05	-5.00006e-06
-5	0	-898	2.82615e-05	1.50013e-05	-5.78437e-06
-4	0	-898	2.95229e-05	1.52469e-05	-5.6559e-06
-3	0	-898	3.03212e-05	1.60932e-05	-5.37481e-06
-2	0	-898	3.15522e-05	1.51066e-05	-5.06034e-06
-1	0	-898	2.87668e-05	1.57595e-05	-6.45307e-06
0	0	-898	2.84858e-05	1.56482e-05	-6.64198e-06
1	0	-898	2.80839e-05	1.45616e-05	-5.9241e-06
2	0	-898	2.84708e-05	1.47369e-05	-6.00488e-06
3	0	-898	3.14131e-05	1.41963e-05	-5.46493e-06
4	0	-898	3.56568e-05	1.50462e-05	-4.38328e-06
5	0	-898	3.08633e-05	1.52938e-05	-5.49885e-06
-5	0	-897.5	2.68578e-05	1.4485e-05	-6.21967e-06
-4	0	-897.5	2.84866e-05	1.56013e-05	-6.46447e-06
-3	0	-897.5	2.99087e-05	1.61375e-05	-5.3503e-06
-2	0	-897.5	3.09448e-05	1.51097e-05	-5.41177e-06
-1	0	-897.5	2.82217e-05	1.5431e-05	-6.46904e-06
0	0	-897.5	2.84171e-05	1.53784e-05	-6.73504e-06
1	0	-897.5	2.80633e-05	1.46672e-05	-6.16669e-06
2	0	-897.5	2.94671e-05	1.50448e-05	-6.03703e-06
3	0	-897.5	3.10165e-05	1.42697e-05	-5.60407e-06
4	0	-897.5	3.85237e-05	1.53302e-05	-3.77829e-06
5	0	-897.5	3.19715e-05	1.44179e-05	-4.62586e-06
-5	0	-897	2.76774e-05	1.46379e-05	-5.69945e-06
-4	0	-897	2.8665e-05	1.55451e-05	-6.26205e-06
-3	0	-897	2.99096e-05	1.58825e-05	-5.54334e-06
-2	0	-897	3.04376e-05	1.50454e-05	-5.36459e-06
-1	0	-897	2.80251e-05	1.53311e-05	-6.5655e-06
0	0	-897	2.95886e-05	1.51706e-05	-5.93406e-06
1	0	-897	2.67296e-05	1.47575e-05	-6.7995e-06
2	0	-897	2.88429e-05	1.47753e-05	-6.02222e-06
3	0	-897	3.05591e-05	1.41637e-05	-5.93516e-06
4	0	-897	3.54348e-05	1.49637e-05	-4.48866e-06
5	0	-897	3.41359e-05	1.55617e-05	-4.45609e-06
-5	0	-896.5	2.80204e-05	1.46083e-05	-5.70654e-06
-4	0	-896.5	2.76358e-05	1.58087e-05	-6.91997e-06
-3	0	-896.5	2.85244e-05	1.55742e-05	-6.14359e-06
-2	0	-896.5	2.97223e-05	1.47286e-05	-5.59778e-06
-1	0	-896.5	2.8853e-05	1.5528e-05	-6.50331e-06
0	0	-896.5	3.00673e-05	1.52416e-05	-5.66821e-06
1	0	-896.5	2.80731e-05	1.47581e-05	-6.00721e-06
2	0	-896.5	2.79052e-05	1.4562e-05	-6.47171e-06
3	0	-896.5	3.11563e-05	1.43575e-05	-5.82025e-06
4	0	-896.5	3.37193e-05	1.44687e-05	-5.03971e-06
5	0	-896.5	3.13749e-05	1.5455e-05	-5.39569e-06
-5	0	-896	2.92076e-05	1.52852e-05	-5.38149e-06
-4	0	-896	2.89711e-05	1.59204e-05	-6.27853e-06
-3	0	-896	2.99713e-05	1.56011e-05	-5.294e-06
-2	0	-896	2.93828e-05	1.44652e-05	-5.73504e-06
-1	0	-896	2.72511e-05	1.55193e-05	-7.15852e-06
0	0	-896	2.86756e-05	1.50738e-05	-6.2392e-06
1	0	-896	2.72218e-05	1.45379e-05	-6.26915e-06
2	0	-896	2.79237e-05	1.48248e-05	-6.59883e-06
3	0	-896	3.12033e-05	1.41319e-05	-5.54641e-06
4	0	-896	3.67154e-05	1.53572e-05	-4.40593e-06
5	0	-896	3.32595e-05	1.52737e-05	-4.71914e-06
-5	0	-895.5	2.73722e-05	1.5692e-05	-6.00175e-06
-4	0	-895.5	3.03869e-05	1.56276e-05	-5.63315e-06
-3	0	-895.5	2.8589e-05	1.62137e-05	-6.24506e-06
-2	0	-895.5	2.96467e-05	1.45504e-05	-5.81732e-06
-1	0	-895.5	2.70157e-05	1.52169e-05	-7.37941e-06
0	0	-895.5	2.93622e-05	1.55867e-05	-6.37201e-06
1	0	-895.5	2.69698e-05	1.4878e-05	-6.44928e-06
2	0	-895.5	2.75356e-05	1.53496e-05	-6.95522e-06
3	0	-895.5	3.06033e-05	1.42546e-05	-5.90463e-06
4	0	-895.5	3.47656e-05	1.46471e-05	-4.65307e-06
5	0	-895.5	3.26573e-05	1.49487e-05	-4.82438e-06
-5	0	-895	2.76959e-05	1.53546e-05	-6.02407e-06
-4	0	-895	2.8787e-05	1.54488e-05	-6.06692e-06
-3	0	-895	2.88781e-05	1.54019e-05	-5.81793e-06
-2	0	-895	3.06954e-05	1.51068e-05	-5.37527e-06
-1	0	-895	2.7339e-05	1.5557e-05	-7.15473e-06
0	0	-895	2.85342e-05	1.57505e-05	-6.51856e-06
1	0	-895	2.74532e-05	1.50801e-05	-6.34596e-06
2	0	-895	2.73376e-05	1.43299e-05	-6.67074e-06
3	0	-895	3.04686e-05	1.45067e-05	-5.71105e-06
4	0	-895	3.46263e-05	1.46887e-05	-4.88524e-06
5	0	-895	2.92635e-05	1.48986e-05	-5.89931e-06
-5	0	-894.5	2.79707e-05	1.54813e-05	-5.88765e-06
-4	0	-894.5	2.74929e-05	1.56509e-05	-6.60931e-06
-3	0	-894.5	2.87745e-05	1.49511e-05	-5.63042e-06
-2	0	-894.5	2.97162e-05	1.51151e-05	-5.72647e-06
-1	0	-894.5	2.73026e-05	1.55394e-05	-6.91932e-06
0	0	-894.5	2.96204e-05	1.5724e-05	-6.56652e-06
1	0	-894.5	2.77331e-05	1.47864e-05	-6.20318e-06
2	0	-894.5	2.77188e-05	1.4641e-05	-6.5417e-06
3	0	-894.5	3.14531e-05	1.45826e-05	-5.41846e-06
4	0	-894.5	3.75658e-05	1.46655e-05	-4.11108e-06
5	0	-894.5	3.04355e-05	1.50569e-05	-5.745e-06
-5	0	-894	2.78207e-05	1.50972e-05	-6.01516e-06
-4	0	-894	2.89607e-05	1.53022e-05	-6.02201e-06
-3	0	-894	2.89095e-05	1.51855e-05	-5.86572e-06
-2	0	-894	3.00969e-05	1.54553e-05	-5.92197e-06
-1	0	-894	2.72568e-05	1.56301e-05	-7.01454e-06
0	0	-894	2.93227e-05	1.59503e-05	-6.78398e-06
1	0	-894	2.68036e-05	1.48541e-05	-6.87834e-06
2	0	-894	2.66448e-05	1.41978e-05	-6.93761e-06
3	0	-894	3.11179e-05	1.45039e-05	-5.81248e-06
4	0	-894	3.47938e-05	1.4932e-05	-4.81636e-06
5	0	-894	3.12465e-05	1.52388e-05	-5.42467e-06
-5	0	-893.5	2.76355e-05	1.51909e-05	-6.14186e-06
-4	0	-893.5	2.92729e-05	1.52412e-05	-5.54322e-06
-3	0	-893.5	2.93812e-05	1.54669e-05	-5.55186e-06
-2	0	-893.5	3.13879e-05	1.5537e-05	-5.32841e-06
-1	0	-893.5	2.81517e-05	1.53726e-05	-6.42504e-06
0	0	-893.5	2.8124e-05	1.50501e-05	-6.86713e-06
1	0	-893.5	2.66024e-05	1.47871e-05	-6.73e-06
2	0	-893.5	2.76538e-05	1.48606e-05	-6.57482e-06
3	0	-893.5	3.20808e-05	1.43869e-05	-5.35513e-06
4	0	-893.5	3.37443e-05	1.49492e-05	-5.10204e-06
5	0	-893.5	3.12629e-05	1.49164e-05	-5.40496e-06
-5	0	-893	2.70728e-05	1.54401e-05	-6.41551e-06
-4	0	-893	2.87603e-05	1.52555e-05	-6.07247e-06
-3	0	-893	2.7767e-05	1.5138e-05	-6.10686e-06
-2	0	-893	3.1125e-05	1.54373e-05	-5.42509e-06
-1	0	-893	2.65725e-05	1.50264e-05	-6.90259e-06
0	0	-893	2.85687e-05	1.53875e-05	-6.65746e-06
1	0	-893	2.59099e-05	1.45642e-05	-7.20904e-06
2	0	-893	2.78519e-05	1.48605e-05	-6.37782e-06
3	0	-893	3.083e-05	1.40962e-05	-5.91599e-06
4	0	-893	3.395e-05	1.43017e-05	-4.88375e-06
5	0	-893	3.03833e-05	1.50451e-05	-5.72786e-06
-5	0	-892.5	2.72459e-05	1.4924e-05	-5.81738e-06
-4	0	-892.5	2.81016e-05	1.58032e-05	-6.76198e-06
-3	0	-892.5	2.91125e-05	1.54959e-05	-5.79296e-06
-2	0	-892.5	3.12563e-05	1.53707e-05	-5.35434e-06
-1	0	-892.5	2.75596e-05	1.59702e-05	-6.78595e-06
0	0	-892.5	2.9599e-05	1.56336e-05	-6.32959e-06
1	0	-892.5	2.59441e-05	1.41568e-05	-7.37849e-06
2	0	-892.5	2.71545e-05	1.43476e-05	-7.0308e-06
3	0	-892.5	3.10311e-05	1.44425e-05	-5.79723e-06
4	0	-892.5	3.35795e-05	1.42111e-05	-4.9652e-06
5	0	-892.5	3.07951e-05	1.5133e-05	-5.45865e-06
-5	0	-892	2.70418e-05	1.51702e-05	-6.32686e-06
-4	0	-892	2.73986e-05	1.55127e-05	-6.76564e-06
-3	0	-892	2.89124e-05	1.49386e-05	-5.89547e-06
-2	0	-892	2.93869e-05	1.46199e-05	-5.87326e-06
-1	0	-892	2.65561e-05	1.57061e-05	-7.30176e-06
0	0	-892	2.88874e-05	1.53377e-05	-6.66099e-06
1	0	-892	2.74073e-05	1.46234e-05	-6.41076e-06
2	0	-892	2.66479e-05	1.4195e-05	-6.90504e-06
3	0	-892	2.94432e-05	1.41339e-05	-6.78164e-06
