fieldmap_name:     	FFCorrector Model03
timestamp:         	2021-11-10_14-33-23
filename:          	2021-11-10_FFCorrector_Model03_Sim_QS_X=-12_12mm_Z=-200_200mm_Iqs=10A.txt
MagNet_file:       	2021-11-10_FFCorrector_Model03_Sim_QS.mn
nr_magnets:        	1

magnet_name:       	FFCorrector
gap[mm]:           	38
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
current_qs[A]:     	10
NI_qs[A.esp]:      	1600
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-12	0	-200	3.33265335188297E-05	-2.09691212312812E-07	-3.85017605656626E-06
-11	0	-200	3.05932587525271E-05	-2.13038315010864E-07	-3.24881425030973E-06
-10	0	-200	2.7850892221153E-05	-2.1057409984954E-07	-2.69398299695249E-06
-9	0	-200	2.50982580679164E-05	-2.14045634608024E-07	-2.1954116167115E-06
-8	0	-200	2.23358589449449E-05	-2.05969198864831E-07	-1.75044012608542E-06
-7	0	-200	1.95642634256009E-05	-2.04541571238755E-07	-1.35768711093887E-06
-6	0	-200	1.67864687759488E-05	-2.03536098980558E-07	-1.01399693089299E-06
-5	0	-200	1.40000690894543E-05	-2.07831298068014E-07	-7.26389260760165E-07
-4	0	-200	1.12121425353414E-05	-2.05972853616684E-07	-4.90425464814825E-07
-3	0	-200	8.41810432629211E-06	-2.07363856962637E-07	-3.11552747053984E-07
-2	0	-200	5.62368919726069E-06	-2.07531472269616E-07	-1.78168554923766E-07
-1	0	-200	2.82550690646624E-06	-2.07472832628972E-07	-1.08032551556888E-07
0	0	-200	2.47122158058924E-08	-2.12769777219435E-07	-8.57886480133053E-08
1	0	-200	-2.7775261093237E-06	-2.0537342206129E-07	-9.97744065134098E-08
2	0	-200	-5.57597413030332E-06	-2.04461925238638E-07	-1.80024217003353E-07
3	0	-200	-8.37171326107841E-06	-2.03365051024653E-07	-3.0471352584561E-07
4	0	-200	-1.11643137593406E-05	-2.03057028583173E-07	-4.86147497712045E-07
5	0	-200	-1.39530494869645E-05	-1.98429312183932E-07	-7.288780919717E-07
6	0	-200	-1.67366098746121E-05	-1.99301544026263E-07	-1.0155678173661E-06
7	0	-200	-1.95133288194674E-05	-1.95667357295511E-07	-1.34995072813161E-06
8	0	-200	-2.22837641818464E-05	-1.94741620092434E-07	-1.74080475973341E-06
9	0	-200	-2.50471612477239E-05	-1.97932539252118E-07	-2.19901517904084E-06
10	0	-200	-2.7802321607568E-05	-1.94700794887015E-07	-2.68790247664706E-06
11	0	-200	-3.05422777252704E-05	-1.92320207050782E-07	-3.23261896817862E-06
12	0	-200	-3.32807153911673E-05	-1.90748371258968E-07	-3.84018163506782E-06
-12	0	-199	3.39667422295066E-05	-2.13608237067061E-07	-3.93386718800286E-06
-11	0	-199	3.11768597194542E-05	-2.18067231651885E-07	-3.31773838138638E-06
-10	0	-199	2.83877211655914E-05	-2.17004626228682E-07	-2.75456563486857E-06
-9	0	-199	2.55742605759799E-05	-2.18664086355127E-07	-2.24765075224357E-06
-8	0	-199	2.27578121412417E-05	-2.19681305252961E-07	-1.79259156608915E-06
