X [mm]	Y [mm]	I1x [G.cm]	I1x_std [G.cm]	I1y [G.cm]	I1y_std [G.cm]	I2x [kG.cm^2]	I2x_std [kG.cm^2]	I2y [kG.cm^2]	I2y_std [kG.cm^2]
-5.0	-1.0	177.61795283303638	4.468402214180516	163.47997351864814	4.239109000084647	46.64594088834616	1.5897680514360222	10.140216404129918	1.6345148304396873
-4.0	-1.0	87.12025128104546	3.711832372646552	169.95814254125642	2.900348450532797	30.19948733289622	1.3921746095519203	12.793665834194694	0.9088660563630127
-3.0	-1.0	37.39272274847947	3.414360350611721	164.02932525699873	4.268647841468249	21.629229647226474	1.3900716648717435	14.156356877620757	0.7792298995083221
-2.0	-1.0	13.105902654304375	3.3453808083347236	152.08804726226072	3.9077368595393294	18.37612758732777	3.880356488261376	15.382608535775445	1.0196671058622837
-1.0	-1.0	1.0088410806397101	3.4352230240288284	148.47301308892463	4.392777866843691	16.166043331732155	1.4535562899391232	18.296380370920264	0.898583724031626
0.0	-1.0	-3.488944580002472	3.2498109078568125	152.6594751309715	3.3698209092498623	15.114300968059238	1.490278673602397	22.20980959075826	1.0802766342831365
1.0	-1.0	-7.4956757487715535	4.110868604138378	167.60585267923324	3.459497126057899	14.338896571481792	1.3035149970846773	28.030651099987335	0.9438407142245681
2.0	-1.0	-23.50973108851743	3.2709498563442305	202.70155190602446	4.842174602889499	10.516883665692275	1.4167226949441074	37.35925793905301	0.8455238137122453
3.0	-1.0	-58.88156895863634	3.496017784106115	247.82469066978302	4.043339012465796	3.435135230246205	2.1980021364370224	46.748761403908844	1.0808296210682489
4.0	-1.0	-125.14589775884654	5.607231118373348	301.2470339498347	3.5031002463047547	-7.36272328226437	1.4963320720920532	58.735669236310535	0.7999725079669217
5.0	-1.0	-260.3111874156471	4.42859798097756	348.3383457762169	4.2394287687889385	-30.111061351320703	1.4172310493978815	72.39907895015125	0.9294543559911238
-5.0	0.0	134.59706377250166	4.007290727125038	65.15164445566332	3.471309163872632	35.81127197234795	1.522948769268519	-8.278112522241734	0.9560589456851349
-4.0	0.0	77.52043034044014	5.8834014082068	112.59160009389622	4.560325962784379	22.093396951424488	8.81216574294554	2.2767597462737625	1.088452286849395
-3.0	0.0	41.09612306073994	3.448408842380635	129.96370777846465	3.1478562895859223	18.426928078175298	1.352125363170498	9.072608063199043	1.0674196116676586
-2.0	0.0	19.77331787224014	4.176295234638918	134.73221062307155	3.249688325262853	14.498890239553683	1.3834523116298278	12.704437194643706	1.0997580819197206
-1.0	0.0	7.669368108646098	4.008135834585118	140.09183951544003	4.543441171163071	12.073751952585917	1.5359501158961484	16.78398066963913	1.0311436372184501
0.0	0.0	-1.480142370001472	12.390221212977416	140.47354839735797	4.550594694748338	8.673955145744458	4.410467009550672	20.323320791924825	0.9897319293946091
1.0	0.0	-21.463408886357335	3.0945069928248805	139.95779635782444	18.44169033557391	7.036289927020206	1.3059841086394124	25.898857627620725	1.0864125977483703
2.0	0.0	-46.74938131631151	3.033720711303954	176.44434257128617	4.203290652189882	2.2304464471584677	1.9126653895364074	31.348241265119363	1.2398332760753212
3.0	0.0	-86.79902915438393	4.396608744107725	195.40714999747948	2.8195933223346588	-5.153752643378882	1.478074617297967	38.0242124812702	0.7528153715886355
4.0	0.0	-151.2395751710324	4.070493142103442	210.97285952785452	3.897044241660213	-16.858780274701964	1.4405605791053562	43.58173431568216	1.2468404559960597
5.0	0.0	-242.42280038948783	3.3694138992147638	196.12595325956678	4.5948808255804465	-34.63265755713043	1.560535478244419	46.11370496282657	0.8516289226358583
-5.0	1.0	41.59631723513966	3.925135765783933	23.61112987474763	4.870471426711889	18.660288207518192	1.300311051150662	-17.067389195424983	0.6843004477341795
-4.0	1.0	32.1826831561524	4.1136661821179015	85.11030090506686	2.398211965718864	15.423617346729904	1.3951261521745726	-3.2994539268990253	0.9944821611580321
-3.0	1.0	21.91321351346668	4.441187488382453	109.59839608500626	3.5573000965528307	12.236374162419173	1.3332810221409612	5.2448768284095895	0.9743867616213339
-2.0	1.0	10.349297034400259	3.1000011150610574	118.89128912943288	4.799593850546729	10.274464749504842	1.469469993070275	10.755931670271494	0.8539535977520596
-1.0	1.0	-3.9649145110755635	4.2148087987060725	125.23748156130482	4.418067655319535	8.564375505098331	1.3650665111380254	14.744368034990448	0.8404338474604003
0.0	1.0	-18.936863241808393	4.2374099929645395	124.94378178858702	4.772178040736438	5.966653386080027	1.5080852517491539	17.610703787210834	0.8488066925585472
1.0	1.0	-38.40303055968555	3.2726299379952706	130.9783085918589	2.8862463380532177	2.525985894167846	1.3619597133020849	21.907586564645772	0.9982731559365845
2.0	1.0	-67.70920823893611	4.516966867890219	140.1287817246306	3.913399297496584	-1.9298287576435273	1.2690686833654599	25.556574399481732	1.3184930704707425
3.0	1.0	-109.38899606362298	4.070174169085668	144.31099912065955	2.6247002714197794	-9.758581689821657	1.4483494787322235	28.3703789786307	0.952434450453979
4.0	1.0	-163.3779363577027	3.0436182760306534	147.04178679509016	3.095410925289263	-19.983573443519365	1.506133255552926	31.05105116218287	1.0263619984673404
5.0	1.0	-212.65584621461431	8.44910377380306	134.90048877700858	2.6991422384226373	-31.770938120599954	1.3716926765158355	30.856095148878456	0.6574505723499551
