X [mm]	Y [mm]	I1x [G.cm]	I1x_std [G.cm]	I1y [G.cm]	I1y_std [G.cm]	I2x [kG.cm^2]	I2x_std [kG.cm^2]	I2y [kG.cm^2]	I2y_std [kG.cm^2]
-5.0	0.0	125.02889399684994	3.549206579755719	36.90105127583314	5.3384750958012415	33.42082489920687	1.3318129732957205	-13.545546422381843	1.3162511143470639
-4.0	0.0	74.3467993492205	4.129445160698962	77.5576223898441	4.622989126425374	22.943047747544785	1.4315401577979348	-4.176483977881703	1.4496597557607633
-3.0	0.0	45.82845673547916	4.062678658715525	85.40562830251771	3.886131867803196	17.460766695158828	1.615983251444925	2.3171397644346396	1.3645871482998089
-2.0	0.0	31.01541553880997	3.686135754924571	88.60162416904792	6.082459582234301	14.587031628127509	1.6439779767619422	5.40371339799092	0.7088651984534798
-1.0	0.0	22.887210456572628	2.6476141519370495	103.19324810333806	4.205260861570875	12.75729474947447	1.5898187042434626	10.131594644278037	1.5557107186617858
0.0	0.0	20.035751497693784	3.72785307959289	105.95001117386344	7.105508532769569	11.194593111264254	1.3753529060479217	14.735816845283653	1.0232424834581306
1.0	0.0	7.603015676661956	4.254446389407495	135.32866193072397	5.733901116225407	8.085352669195395	1.547228550937674	23.30155529566787	1.2233711072000057
2.0	0.0	-21.323678310441938	4.0629844637168855	181.91898808011854	5.476556719054788	3.008379992671523	1.4387923277896553	31.791009566468546	0.9658251207375613
3.0	0.0	-67.75836594942085	3.826679288487356	221.8299030179897	4.9786591586832305	-6.467181823327717	1.382441847622008	41.51243529033379	1.1323974387794196
4.0	0.0	-146.35032909385714	3.948127199970963	243.57692025718578	5.034105685854345	-19.566099253646975	4.465711486103314	48.49298273104228	1.5836764873872773
5.0	0.0	-266.1003849768465	4.155547537684877	224.64623971808842	5.150474486276901	-43.56633224731531	1.792091727661596	50.26194521189195	1.3554139302344825
