X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-5	0	-900	4.29611e-06	8.88429e-06	-1.20534e-05
-4	0	-900	5.4887e-06	7.95994e-06	-1.1033e-05
-3	0	-900	7.83729e-06	8.01412e-06	-1.00014e-05
-2	0	-900	7.56557e-06	8.07822e-06	-1.10407e-05
-1	0	-900	1.11677e-05	8.30169e-06	-7.76926e-06
0	0	-900	9.03949e-06	7.8711e-06	-9.32395e-06
1	0	-900	7.3346e-06	7.3368e-06	-1.05682e-05
2	0	-900	7.16062e-06	7.55691e-06	-1.01371e-05
3	0	-900	7.24164e-06	8.27675e-06	-1.0226e-05
4	0	-900	8.75071e-06	7.75936e-06	-9.41523e-06
5	0	-900	7.73307e-06	7.71784e-06	-1.00961e-05
-5	0	-899.5	4.19999e-06	9.21316e-06	-1.15966e-05
-4	0	-899.5	5.98473e-06	7.67312e-06	-1.06199e-05
-3	0	-899.5	8.11946e-06	8.04005e-06	-9.83064e-06
-2	0	-899.5	7.03977e-06	8.11548e-06	-1.10315e-05
-1	0	-899.5	1.09666e-05	8.09421e-06	-7.20894e-06
0	0	-899.5	8.99388e-06	8.50313e-06	-9.44714e-06
1	0	-899.5	7.86431e-06	7.65633e-06	-1.03171e-05
2	0	-899.5	7.13388e-06	8.44722e-06	-1.0185e-05
3	0	-899.5	7.47712e-06	7.87572e-06	-1.06387e-05
4	0	-899.5	8.35269e-06	7.94651e-06	-9.98082e-06
5	0	-899.5	7.40672e-06	7.59774e-06	-1.0062e-05
-5	0	-899	4.55534e-06	8.85566e-06	-1.18574e-05
-4	0	-899	6.3614e-06	7.52381e-06	-1.10304e-05
-3	0	-899	7.71677e-06	7.72948e-06	-9.54517e-06
-2	0	-899	7.13229e-06	8.60166e-06	-1.05457e-05
-1	0	-899	1.05699e-05	7.61352e-06	-7.67076e-06
0	0	-899	8.70634e-06	8.59374e-06	-9.27905e-06
1	0	-899	7.42948e-06	7.90229e-06	-1.00761e-05
2	0	-899	7.34859e-06	8.16839e-06	-1.01767e-05
3	0	-899	7.68329e-06	8.23605e-06	-1.10805e-05
4	0	-899	9.14465e-06	7.89976e-06	-1.00257e-05
5	0	-899	7.76407e-06	7.66225e-06	-1.02341e-05
-5	0	-898.5	4.39127e-06	8.82326e-06	-1.18817e-05
-4	0	-898.5	6.54019e-06	7.85197e-06	-1.07666e-05
-3	0	-898.5	8.28032e-06	7.68948e-06	-1.04903e-05
-2	0	-898.5	7.02535e-06	8.59e-06	-1.08911e-05
-1	0	-898.5	1.02318e-05	7.05654e-06	-7.81457e-06
0	0	-898.5	8.67238e-06	8.08104e-06	-9.83902e-06
1	0	-898.5	7.21337e-06	8.13392e-06	-9.80252e-06
2	0	-898.5	7.25182e-06	8.26e-06	-1.01103e-05
3	0	-898.5	7.33406e-06	8.39926e-06	-1.12154e-05
4	0	-898.5	8.84171e-06	7.63611e-06	-1.04671e-05
5	0	-898.5	7.77056e-06	7.65055e-06	-1.05204e-05
-5	0	-898	4.01187e-06	9.2047e-06	-1.14832e-05
-4	0	-898	6.47348e-06	8.45796e-06	-1.11217e-05
-3	0	-898	8.21861e-06	7.4809e-06	-1.02033e-05
-2	0	-898	7.16947e-06	8.86588e-06	-1.09471e-05
-1	0	-898	1.02176e-05	7.70788e-06	-8.18705e-06
0	0	-898	9.14572e-06	8.68513e-06	-9.72362e-06
1	0	-898	7.59997e-06	8.28941e-06	-9.74668e-06
2	0	-898	7.25721e-06	8.11614e-06	-9.63562e-06
3	0	-898	6.53968e-06	8.79805e-06	-1.08049e-05
4	0	-898	8.83263e-06	7.23795e-06	-1.04593e-05
5	0	-898	7.59093e-06	7.46914e-06	-9.96851e-06
-5	0	-897.5	3.93345e-06	8.96052e-06	-1.19035e-05
-4	0	-897.5	6.16662e-06	8.56655e-06	-1.15906e-05
-3	0	-897.5	7.82954e-06	7.21359e-06	-9.89749e-06
-2	0	-897.5	7.58608e-06	8.31161e-06	-1.08025e-05
-1	0	-897.5	9.51039e-06	7.87686e-06	-8.28281e-06
0	0	-897.5	8.51186e-06	8.25365e-06	-1.00031e-05
1	0	-897.5	7.52859e-06	7.8906e-06	-9.79966e-06
2	0	-897.5	7.14277e-06	8.122e-06	-1.0112e-05
3	0	-897.5	7.10207e-06	8.30295e-06	-1.06985e-05
