Delta Sabia Undulator
Units: X, Y = [mm]; I1=[T.m]=10**6[G.cm]; I2=[T.m²]=10**5[kG.cm²]
Comments: Full undulator, Shimming A. Phase 11 (Phase = 0 mm; GV = -6.563 mm).

X	Y	I1x_mean	I1x_std	I1y_mean	I1y_std	I2x_mean	I2x_std	I2y_mean	I2y_std
-5.0	0.0	0.00016274766430492124	1.1217152749821133e-05	-0.0001471997908747048	3.879665735887728e-06	8.519112912443871e-05	3.387900066035042e-05	-0.00020431559290115135	7.355082777077822e-06
-4.0	0.0	0.00011766257466705225	1.1988613286494396e-05	-4.837406518830759e-05	4.809360459541205e-06	7.539515948324518e-05	3.5128923942203575e-05	-3.5260662661525e-05	1.1977666833387627e-05
-3.0	0.0	6.93271549974016e-05	1.380046977284588e-05	1.6461281044371305e-05	4.133462333748225e-06	4.198160533235061e-06	3.602717408957822e-05	6.62449322713459e-05	8.402043727121955e-06
-2.0	0.0	2.2032682634213857e-05	1.4166611036446424e-05	6.68941501148707e-05	3.6079171466560464e-06	-3.010427641796295e-05	1.7775207928177926e-05	0.00014990751742146273	8.744768246143469e-06
-1.0	0.0	-4.010043705643721e-05	1.2142415085932868e-05	0.00011699463784666836	4.844261956685523e-06	-9.382643646209594e-05	4.054596224477961e-05	0.00022228996060579863	1.124184267849618e-05
0.0	0.0	-8.784594141425754e-05	1.7792043982312497e-05	0.00017187692373230387	3.1077734096506773e-06	-0.00016550732754672633	2.934892315700787e-05	0.00029741469314584695	6.694170165362725e-06
1.0	0.0	-0.00015686584643407928	1.0625423005875137e-05	0.00022647028516357542	2.5806787082924826e-06	-0.00024843519221601744	3.252265378434174e-05	0.0003847601564003204	1.0788074916582495e-05
2.0	0.0	-0.00022733409480629472	1.453760593265739e-05	0.00029062413374730426	4.474744555216492e-06	-0.00033156297913320825	2.7109795146839232e-05	0.00047296353603593484	1.2726330002001943e-05
3.0	0.0	-0.00031479497889363994	1.0085793607961954e-05	0.00036546149406239275	2.2608223814257135e-06	-0.0004542091268691677	3.401683627063543e-05	0.000588662319743045	1.0625593837775217e-05
4.0	0.0	-0.00042977901128475566	1.133542074070748e-05	0.0004475625764206939	3.957564469810782e-06	-0.0005797048378076787	4.5875865616289704e-05	0.000721051265055414	1.1914260397860855e-05
5.0	0.0	-0.0005887588932128392	1.1005480516986078e-05	0.0005323755168444154	4.412131564368976e-06	-0.0007525327861949325	3.429339546215515e-05	0.0008630931730579564	9.275841239384332e-06
